url	status	redirects_to	note
https://sendmoneycompare.com/send-money/switzerland-to-peru	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-poland	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-south-korea	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-turkey	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-ukraine	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-vietnam	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-argentina	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/uae-to-brazil	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-chile	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/uae-to-colombia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-croatia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-europe	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-france	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-germany	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-ghana	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-hong-kong	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/uae-to-indonesia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-japan	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-kenya	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-malaysia	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/uae-to-mexico	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-nigeria	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-peru	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-poland	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/uae-to-singapore	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/uae-to-south-africa	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-south-korea	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-spain	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-taiwan	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/uae-to-thailand	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-ukraine	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uae-to-vietnam	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/uae-to-zimbabwe	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uk-to-argentina	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uk-to-cameroon	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uk-to-ethiopia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uk-to-rwanda	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uk-to-senegal	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/uk-to-tanzania	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/usa-to-cameroon	301	/send-money/send-money-to-cameroon	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/usa-to-fiji	301	/send-money/send-money-to-fiji	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/usa-to-taiwan	301	/send-money/send-money-to-taiwan	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/usa-to-zambia	301	/send-money/send-money-to-zambia	consolidated into another corridor page (301)
